App_oid,Collection_oid,Field_id,Name,Datatype_id,Description,Required,Calculated,Formula,Translatable
"120326,187309,4804,""Hydrous Ethanol (Biofuel) (Etanol) CO2eq"",4,,0,1,[5306]*1+[5307]*25+[5308]*298,0"
"120326,187309,4805,""100% Biodiesel (Biofuel) CO2eq"",4,,0,1,[5309]*1+[5310]*25+[5311]*298,0"
"120326,187310,4798,""Combustible Vehículos"",497,,0,0,,0"
120326,187310,4796,Año,491,,0,0,,0
120326,187310,4797,País,490,,0,0,,0
"120326,187310,5284,""Factor CO2 de Gas Natural Comprimido"",4,,0,0,,0"
"120326,187310,5285,""Factor CO2 de 100% Biodiesel"",4,,0,0,,0"
"120326,187310,5286,""Factor CO2 de B20 Biodiesel/Diesel"",4,,0,0,,0"
"120326,187310,5287,""Factor CO2 de B20 Biodiesel/Diesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5288,""% Biodiesel en Diesel"",4,,0,0,,0"
"120326,187310,5289,""Factor CH4 Etanol Hidratado (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5290,""Factor N2O Etanol Hidratado (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5291,""Factor CH4 de Gas Natural Comprimido"",4,,0,0,,0"
"120326,187310,5292,""Factor N2O de Gas Natural Comprimido"",4,,0,0,,0"
"120326,187310,5293,""Factor CH4 Etanol Anhidro (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5294,""Factor N2O Etanol Anhidro (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5295,""Factor CH4 de 100% Biodiesel"",4,,0,0,,0"
"120326,187310,5296,""Factor N2O de 100% Biodiesel"",4,,0,0,,0"
"120326,187310,5297,""Factor CH4 100% Biodiesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5298,""Factor N2O 100% Biodiesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5299,""Factor CH4 de B20 Biodiesel/Diesel"",4,,0,0,,0"
"120326,187310,5300,""Factor N2O de B20 Biodiesel/Diesel"",4,,0,0,,0"
"120326,187310,5301,""Factor CH4 de B20 Biodiesel/Diesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,5302,""Factor N2O de B20 Biodiesel/Diesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,4799,""Factor CO2"",4,,0,0,,0"
"120326,187310,4800,""Factor CH4"",4,,0,0,,0"
"120326,187310,4801,""Factor N2O"",4,,0,0,,0"
"120326,187310,4810,""Factor CO2 Etanol Anhidro (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,4811,""Factor CO2 Etanol Hidratado (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,4812,""Factor CO2 100% Biodiesel (Combustible Biomasa)"",4,,0,0,,0"
"120326,187310,4813,""% etanol en Gasolina"",4,,0,0,,0"
"120326,187531,4998,Movilidad,516,""Esta hoja se utiliza para informar de los datos de energía con respecto a la movilidad. Km en viajes de trabajo mediante avión, autobús y tren."",0,0,,0"
120326,187531,4816,Viajes,511,,0,0,,0
120326,187531,4815,Sociedad,501,,0,0,,0
120326,187531,4814,Periodo,500,,0,0,,0
"120326,187531,5221,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187531,5222,País,490,,0,1,""parent_field(""187188"", ""4693"")"",0"
120326,187531,4817,Distancia,4,,0,0,,0
"120326,187531,4818,""Emisiones CO2"",4,,0,1,""[4817]*get_field_from_value('187557', '4824 = '~[4816]~' AND 4822 = '~[5221]~'', null, '4825')/1000000"",0"
"120326,187531,4819,""Emisiones CH4"",4,,0,1,""[4817]*get_field_from_value('187557', '4824 = '~[4816]~' AND 4822 = '~[5221]~'', null, '4826')/1000000"",0"
"120326,187531,4820,""Emisiones N2O"",4,,0,1,""[4817]*get_field_from_value('187557', '4824 = '~[4816]~' AND 4822 = '~[5221]~'', null, '4827')/1000000"",0"
"120326,187531,4821,""Emisiones CO2eq"",4,,0,1,[4818]*1+[4819]*25+[4820]*298,0"
120326,187557,4824,Viajes,511,,0,0,,0
120326,187557,4822,Año,491,,0,0,,0
120326,187557,4823,Pais,490,,0,0,,0
"120326,187557,4825,""Factor CO2"",4,,0,0,,0"
"120326,187557,4826,""Factor CH4"",4,,0,0,,0"
"120326,187557,4827,""Factor N2O"",4,,0,0,,0"
120326,187558,4831,Recarga,546,,0,0,,0
"120326,187558,4999,""Gases Fluorados"",516,""Informe relacionado con la cantidad de gases fluorados utilizados para la carga de gas en aplicaciones de aire acondicionado. Recarga de gases fluorados. La recarga de gases fluorados es una actividad normalmente gestionada por empresas de mantenimiento que deben facilitar este dato a Telefónica."",0,0,,0"
"120326,187558,4830,""Gas Refrigerante"",513,,0,0,,0"
120326,187558,4829,Sociedad,501,,0,0,,0
120326,187558,4828,Periodo,500,,0,0,,0
"120326,187558,5188,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187558,5189,País,490,,0,1,""parent_field(""187188"", ""4693"")"",0"
"120326,187558,4832,""Emisiones CO2"",4,,0,1,""[4831]*get_field_from_value('187559', '4838 = '~[4830]~' AND 4836 = '~[5188]~'', null, '4839')/1000"",0"
"120326,187558,4835,""Emisiones CO2eq"",4,,0,1,1*[4832],0"
"120326,187558,5326,""Por favor, especifique el gas otro"",1,,0,0,,0"
"120326,187559,4838,""Gas refrigerante"",513,,0,0,,0"
120326,187559,4836,Año,491,,0,0,,0
"120326,187559,4839,""Factor CO2"",4,,0,0,,0"
"120326,187563,4952,""Licencias y Permisos Ambientales"",516,,0,0,,0"
"120326,187563,4953,""Cumplimiento Normativo"",516,,0,0,,0"
"120326,187563,4954,""Control Operacional"",516,,0,0,,0"
"120326,187563,4955,""Formación Ambiental"",516,,0,0,,0"
"120326,187563,4956,""Contabilidad Ambiental"",516,,0,0,,0"
"120326,187563,4957,""Gasto e Inversión Ambiental"",516,,0,0,,0"
"120326,187563,4958,""Ingresos Venta Residuos"",516,,0,0,,0"
"120326,187563,4860,""Nº Tanques combustible"",502,,0,0,,0"
120326,187563,4841,Sociedad,501,,0,0,,0
120326,187563,4842,Periodo,500,,0,0,,0
"120326,187563,4840,Año,491,,0,1,""parent_field(""187189"", ""4698"")"",0"
"120326,187563,4864,""Gasto e Inversión Ambiental total"",329,,0,1,[4865]+[4866]+[4867]+[4868]+[4869]+[4870]+[4871]+[4872]+[4873]+[4874]+[4875],0"
"120326,187563,4865,""Gasto Patrocinios Ambientales"",329,""Apoyo proporcionado a otra entidad para llevar a cabo un proyecto sobre el medio ambiente, siempre que no se trate de un servicio directo de Telefónica."",0,0,,0"
"120326,187563,4866,""Gasto Gestión Residuos"",329,""Por lo general, la gestión de residuos es un gasto, pero a veces los residuos tiene un valor económico residual. Este indicador consolida todos los gastos derivados de la gestión de los residuos generados."",0,0,,0"
"120326,187563,4867,""Gasto Auditorías Ambientales"",329,""Costes debidos a las auditorías anuales del sistema de gestión medioambiental según la norma ISO 14001."",0,0,,0"
"120326,187563,4868,""Gasto Estudios Impacto Ambiental"",329,""Costes de los estudios de impacto ambiental para el despliegue de la red."",0,0,,0"
"120326,187563,4869,""Gasto Seguros Ambientales"",329,""Gasto anual de tasas y seguros ambientales."",0,0,,0"
"120326,187563,4870,""Gasto Mantenimiento y Gestión Ambiental"",329,""Todos los demás gastos de gestión ambiental, como la formación ambiental, consultoría, actualización de la legislación, emisiones y mediciones de ruido. Incluir los costes de remediación ambiental."",0,0,,0"
"120326,187563,4871,""Gasto e Inversión Medidas Impacto Visual"",329,""Inversión y gasto operacional de las medidas realizadas durante el año para reducir el impacto visual en la infraestructura de red."",0,0,,0"
"120326,187563,4872,""Gasto e Inversión Medidas Impacto Acústico"",329,""Inversión y gasto operacional dedicado a adaptar nuestras instalaciones por razones de ruido. Puede ser la insonorización, la sustitución de equipos, reparación, etc."",0,0,,0"
"120326,187563,4873,""Gasto e Inversión en Depósitos Combustible"",329,""Inversión y gasto operacional destinado a adaptar los tanques de combustible propiedad de Telefónica con el fin de prevenir los riesgos ambientales."",0,0,,0"
"120326,187563,4874,""Gasto Cooperación Social-Ambiental para despliegue de red"",329,""Donaciones para actividades medioambientales de participación pública para facilitar el despliegue de la red. Ejemplo: talleres de participación ciudadana."",0,0,,0"
"120326,187563,4875,""Donaciones relacionadas con gestión de residuos"",329,""Donaciones de materiales en desuso a fundaciones u organizaciones para la gestión de residuos. Valor contable de los materiales."",0,0,,0"
"120326,187563,4876,""Ingresos Venta Residuos Total"",329,,0,1,[4877]+[4878],0"
"120326,187563,4877,""Ingresos Venta Residuos Clientes (teléfonos móviles)"",329,""Ingresos por venta de los residuos de los clientes, teléfonos móviles y otros, para el reciclado o reuse.Puede ser parte de un programa de reutilización o reciclado, o incluso una venta de equipos obsoletos para su uso o el reciclaje."",0,0,,0"
"120326,187563,4878,""Ingresos Venta Residuos Operaciones"",329,""Los ingresos de la venta de los residuos procedentes de operaciones y oficinas (cables, equipos de conmutación y ventas de equipos de transmisión centrales. Incluye obsoletos para su reutilización o reciclaje)."",0,0,,0"
"120326,187563,4853,""Coste Sanciones Ambientales"",329,""Importe pagado a la administración por el incumplimiento de la regulación ambiental."",0,0,,0"
"120326,187563,4859,""Volumen Derrame Combustible"",4,""Volumen de los derrames de combustible."",0,0,,0"
"120326,187563,4861,""Formación Ambiental total"",4,,0,1,[4862]+[4863],0"
"120326,187563,4862,""Formación Ambiental Proveedores (online y presencial)"",4,""Horas de formación ambiental para empleados (gestión medioambiental, auditoría, residuos u otros aspectos del medio ambiente) realizada durante el año."",0,0,,0"
"120326,187563,4863,""Formación Ambiental Empleados (online y presencial)"",4,""Horas de formación ambiental para proveedores locales (gestión ambiental, residuos u otros aspectos del medio ambiente)."",0,0,,0"
"120326,187563,4849,""Nº Licencias y Permisos Ambientales (Específicos)"",3,""Estas licencias / permisos son específicos del medio ambiente y son necesarios para operar. Son emitidos por la administración. Por ejemplo: Las declaraciones de impacto ambiental requeridos con el fin de instalar un cell site."",0,0,,0"
"120326,187563,4850,""Nº Licencias y Permisos Ambientales (Generales)"",3,""Licencias y permisos que incorporan algun aspecto ambientale. Son emitidas por las administraciones. El componente ambiental es adicional, pero se requieren para obtener el permiso de operación. Por ejemplo: Evaluación del impacto visual."",0,0,,0"
"120326,187563,4851,""Nº Licencias y Permisos Ambientales"",3,,0,1,[4849]+[4850],0"
"120326,187563,4852,""Nº Expedientes por Infracción Ambiental"",3,""Las acciones legales llevadas a cabo contra Telefónica por incumplimiento de la normativa ambiental. Por ejemplo: La falta de licencias ambientales, derrame de residuos, etc."",0,0,,0"
"120326,187563,4854,""Nº Sanciones e Infracciones Ambientales"",3,""Número de expedientes finalizados con resolución contraria a Telefónica por delitos contra las regulaciones ambientales."",0,0,,0"
"120326,187563,4855,""Nº Emplazamientos áreas naturales protegidas"",3,""Número de emplazamientos en áreas naturales protegidas."",0,0,,0"
"120326,187563,4856,""Nº Cell Sites compartidos"",3,""Número de cell sites compartidos."",0,0,,0"
"120326,187563,4857,""Nº Medidas Reducción Impacto Visual"",3,""Medidas realizadas durante el año para reducir el impacto visual en infraestructura de red (técnicas de integración en el entorno: pintado, revestimientos...)."",0,0,,0"
"120326,187563,4858,""Nº Derrames Combustible"",3,""Número de depósitos de combustible."",0,0,,0"
